part	title	page_url	pdf_url	source_filename	archive_filename	bytes	sha256
01	UFO Part 01	https://vault.fbi.gov/UFO/UFO%20Part%2001/view	https://vault.fbi.gov/UFO/UFO%20Part%2001/at_download/file	ufo1.pdf	ufo-part-01.pdf	7508456	c813e10e633f440918cb31dfe11ac7caa35113d91c5f6edcea44fd90fc0e71cd
02	UFO Part 02	https://vault.fbi.gov/UFO/UFO%20Part%2002/view	https://vault.fbi.gov/UFO/UFO%20Part%2002/at_download/file	ufo2.pdf	ufo-part-02.pdf	6930879	bee6e1c542fce6a70b55b83b93cc311ad3a13842d6e2ca9001b2c69e4aa58509
03	UFO Part 03	https://vault.fbi.gov/UFO/UFO%20Part%2003/view	https://vault.fbi.gov/UFO/UFO%20Part%2003/at_download/file	ufo3.pdf	ufo-part-03.pdf	7586395	9a3db3235a87e685beaa3157957308074b7bfca707f92742f177cdf7b68e2c5d
04	UFO Part 04	https://vault.fbi.gov/UFO/UFO%20Part%2004/view	https://vault.fbi.gov/UFO/UFO%20Part%2004/at_download/file	ufo4.pdf	ufo-part-04.pdf	5960213	ccb69dd730f65e8369ab6a82ae48c14c36c06ce9abb9e62e9962cf102d7b4847
05	UFO Part 05	https://vault.fbi.gov/UFO/UFO%20Part%2005/view	https://vault.fbi.gov/UFO/UFO%20Part%2005/at_download/file	ufo5.pdf	ufo-part-05.pdf	7018877	d46d8d32e344062ab4f5c0b2459973bab6e9aff40ea539b4efde0eaa8540af25
06	UFO Part 06	https://vault.fbi.gov/UFO/UFO%20Part%2006/view	https://vault.fbi.gov/UFO/UFO%20Part%2006/at_download/file	ufo6.pdf	ufo-part-06.pdf	14908941	767839d8ea9b338d6b525e3fbf7bfca8b004ec2d3b8edca3fba937216475fdb8
07	UFO Part 07	https://vault.fbi.gov/UFO/UFO%20Part%2007/view	https://vault.fbi.gov/UFO/UFO%20Part%2007/at_download/file	ufo7.pdf	ufo-part-07.pdf	7538982	0cb9d177601e0006a4cac0b94065f2e0dea51a3d6fb44361c8e56ac07d9f3825
08	UFO Part 08	https://vault.fbi.gov/UFO/UFO%20Part%2008/view	https://vault.fbi.gov/UFO/UFO%20Part%2008/at_download/file	ufo8.pdf	ufo-part-08.pdf	7528539	9c50bf6138108cd841924260f9d520e2f4d6c46b7ca822d99dc52c12c7d8b933
09	UFO Part 09	https://vault.fbi.gov/UFO/UFO%20Part%2009/view	https://vault.fbi.gov/UFO/UFO%20Part%2009/at_download/file	ufo9.pdf	ufo-part-09.pdf	13313001	e24a99efc7719ce63bef015b75413e02beed234aced91b450d84f70b11db06fe
10	UFO Part 10	https://vault.fbi.gov/UFO/UFO%20Part%2010/view	https://vault.fbi.gov/UFO/UFO%20Part%2010/at_download/file	ufo10.pdf	ufo-part-10.pdf	13073776	387c0057dc0d8f14d4ccd7b628cad4522ce4bdf73982fb7cc6266053e6792a24
11	UFO Part 11	https://vault.fbi.gov/UFO/UFO%20Part%2011/view	https://vault.fbi.gov/UFO/UFO%20Part%2011/at_download/file	ufo11.pdf	ufo-part-11.pdf	7654923	33ebbb1824507dd319b4f668003dfd4bf9aebd5b80c894f2eb466e2c25477c4b
12	UFO Part 12	https://vault.fbi.gov/UFO/UFO%20Part%2012/view	https://vault.fbi.gov/UFO/UFO%20Part%2012/at_download/file	ufo12.pdf	ufo-part-12.pdf	7906373	b0b26485cd1fbd2184cc66c78a33a1b238829444659219e35aa1efdaddfc4aed
13	UFO Part 13	https://vault.fbi.gov/UFO/UFO%20Part%2013/view	https://vault.fbi.gov/UFO/UFO%20Part%2013/at_download/file	ufo13.pdf	ufo-part-13.pdf	15997286	423b23b3741786f13d58b5dbd2c23eb0f6081fc406fc35482c621baef44b50aa
14	UFO Part 14	https://vault.fbi.gov/UFO/UFO%20Part%2014/view	https://vault.fbi.gov/UFO/UFO%20Part%2014/at_download/file	ufo14.pdf	ufo-part-14.pdf	7416302	db87b2051dc434188f23e59904c375d0b52b3692763d48ef6163a0f309554da3
15	UFO Part 15	https://vault.fbi.gov/UFO/UFO%20Part%2015/view	https://vault.fbi.gov/UFO/UFO%20Part%2015/at_download/file	ufo15.pdf	ufo-part-15.pdf	15416434	edab9b4e5dcedcb5e3ba8cfbf1828cb20310c31b9a463308e1bf9cf440e6ec2a
16	UFO Part 16 (Final)	https://vault.fbi.gov/UFO/UFO%20Part%2016%20%28Final%29/view	https://vault.fbi.gov/UFO/UFO%20Part%2016%20%28Final%29/at_download/file	ufo16.pdf	ufo-part-16.pdf	9650746	0b6c69fbd948cf9f75e75cdc487d50b41c7fe3ccee97ab5c89486ceee57adadc
